#Aex(*1e12), B_anis, A, Msat, W(nm), c0 
11 350 0.01 1.2e+06 100 -0.0406631 
11 350 0.01 1.2e+06 50 -0.749487 
11 350 0.05 1.2e+06 100 -0.109504 
11 350 0.05 1.2e+06 50 -0.0366871 
11 20 0.01 795000 100 -1.58242 
11 20 0.01 795000 50 -1.45563 
11 20 0.05 795000 100 -0.597257 
11 20 0.05 795000 50 -0.146572 
11 350 0.01 795000 100 -0.895302 
11 350 0.01 795000 50 -1.76883 
11 350 0.05 795000 100 -0.0819332 
11 350 0.05 795000 50 -0.0342627 
11 20 0.01 1.2e+06 100 1.01578 
11 20 0.01 1.2e+06 50 -0.753876 
11 20 0.05 1.2e+06 100 -0.248576 
11 20 0.05 1.2e+06 50 -0.0742695 
31 350 0.01 1.2e+06 100 -0.582192 
31 350 0.01 1.2e+06 50 -2.03832 
31 350 0.05 1.2e+06 100 -0.150961 
31 350 0.05 1.2e+06 50 -0.0560668 
31 20 0.01 795000 100 -4.89412 
31 20 0.01 795000 50 -2.25582 
31 20 0.05 795000 100 -1.29916 
31 20 0.05 795000 50 -0.378079 
31 350 0.01 795000 100 -0.36635 
31 350 0.01 795000 50 -4.38687 
31 350 0.05 795000 100 -0.170798 
31 350 0.05 795000 50 -0.0616379 
31 20 0.01 1.2e+06 100 -2.53305 
31 20 0.01 1.2e+06 50 -1.04769 
31 20 0.05 1.2e+06 100 -0.418796 
31 20 0.05 1.2e+06 50 -0.14429 
