#Aex(*1e12), Xi, B_anis, A, Msat, W(nm), c2 
11 0.01 350 0.01 1.2e+06 100 -4.07374e-20
11 0.01 350 0.01 1.2e+06 50 -2.40119e-20
11 0.01 350 0.05 1.2e+06 100 -9.58319e-22
11 0.01 350 0.05 1.2e+06 50 4.95345e-22
11 0.01 20 0.01 795000 100 -4.95528e-19
11 0.01 20 0.01 795000 50 -3.4e-19
11 0.01 20 0.05 795000 100 -1.31949e-20
11 0.01 20 0.05 795000 50 2.01763e-20
11 0.01 350 0.01 795000 100 -8.01089e-20
11 0.01 350 0.01 795000 50 -5.46606e-20
11 0.01 350 0.05 795000 100 -7.97314e-22
11 0.01 350 0.05 795000 50 -4.27275e-22
11 0.01 20 0.01 1.2e+06 100 -1.528e-19
11 0.01 20 0.01 1.2e+06 50 -7.04164e-20
11 0.01 20 0.05 1.2e+06 100 -2.2129e-21
11 0.01 20 0.05 1.2e+06 50 -7.90319e-22
11 0.05 350 0.01 1.2e+06 100 -4.06124e-20
11 0.05 350 0.01 1.2e+06 50 -2.23121e-20
11 0.05 350 0.05 1.2e+06 100 -9.62696e-22
11 0.05 350 0.05 1.2e+06 50 -9.57333e-23
11 0.05 20 0.01 795000 100 -4.95862e-19
11 0.05 20 0.01 795000 50 -3.26881e-19
11 0.05 20 0.05 795000 100 -1.3192e-20
11 0.05 20 0.05 795000 50 -3.09524e-21
11 0.05 350 0.01 795000 100 -8.01842e-20
11 0.05 350 0.01 795000 50 -5.46187e-20
11 0.05 350 0.05 795000 100 -7.89853e-22
11 0.05 350 0.05 795000 50 -4.33767e-22
11 0.05 20 0.01 1.2e+06 100 -1.55548e-19
11 0.05 20 0.01 1.2e+06 50 -7.0505e-20
11 0.05 20 0.05 1.2e+06 100 -1.99707e-21
11 0.05 20 0.05 1.2e+06 50 -7.79534e-22
#21 0.03 150 0.03 998000 75 -2.65082e-21
31 0.01 350 0.01 1.2e+06 100 -7.80547e-20
31 0.01 350 0.01 1.2e+06 50 -3.09407e-20
31 0.01 350 0.05 1.2e+06 100 -1.07336e-21
31 0.01 350 0.05 1.2e+06 50 -7.08905e-23
31 0.01 20 0.01 795000 100 -1.01487e-18
31 0.01 20 0.01 795000 50 -4.89393e-19
31 0.01 20 0.05 795000 100 -2.27988e-20
31 0.01 20 0.05 795000 50 -4.47854e-21
31 0.01 350 0.01 795000 100 -1.88687e-19
31 0.01 350 0.01 795000 50 -1.2829e-19
31 0.01 350 0.05 795000 100 -1.83303e-21
31 0.01 350 0.05 795000 50 -4.44672e-22
31 0.01 20 0.01 1.2e+06 100 -2.68604e-19
31 0.01 20 0.01 1.2e+06 50 -9.1783e-20
31 0.01 20 0.05 1.2e+06 100 -2.24827e-21
31 0.01 20 0.05 1.2e+06 50 -2.15265e-22
31 0.05 350 0.01 1.2e+06 100 -7.80746e-20
31 0.05 350 0.01 1.2e+06 50 -3.09759e-20
31 0.05 350 0.05 1.2e+06 100 -1.12699e-21
31 0.05 350 0.05 1.2e+06 50 -9.27123e-23
31 0.05 20 0.01 795000 100 -1.01475e-18
31 0.05 20 0.01 795000 50 -4.88741e-19
31 0.05 20 0.05 795000 100 -2.27365e-20
31 0.05 20 0.05 795000 50 -4.38821e-21
31 0.05 350 0.01 795000 100 -1.88637e-19
31 0.05 350 0.01 795000 50 -1.28119e-19
31 0.05 350 0.05 795000 100 -1.95724e-21
31 0.05 350 0.05 795000 50 -4.40157e-22
31 0.05 20 0.01 1.2e+06 100 -2.6951e-19
31 0.05 20 0.01 1.2e+06 50 -9.17699e-20
31 0.05 20 0.05 1.2e+06 100 -2.22389e-21
31 0.05 20 0.05 1.2e+06 50 -2.11309e-22
